id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
16688,119048.0,2017.0, ул. Усачева,"ул. Усачева, дом 29, к.9",ОПС Б1_2,False,False,55.7277596,37.570184499999996,"Раковая на Усачева, 22, Усачёва улица, Квартал №533, Девичье поле, район Хамовники, Центральный административный округ, Москва, ЦФО, 119048, РФ",Усачёва улица, 119048,False,227892.0,24,102.38849484264178,4,18,4.310428571428571,63.51,9,12,10,2,155.5195948985719,6,323.72322333836496,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.: 09:00—18:00 ср.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
11475,125315.0,2017.0, ул. Усиевича,"ул. Усиевича, дом 18",ОПС Б1,False,False,55.8084969,37.5165357,"улица Усиевича, район Аэропорт, Северный административный округ, Москва, ЦФО, 125057, РФ",Северный административный округ, 125057,False,227892.0,15,312.1981723510504,8,15,2.6105714285714288,63.01985714285714,18,0,13,1,565.0747057107435,9,223.65784938881058,5.0,9.0,0.0,['пн.—пт.: 09:00—18:00'],True
9378,107065.0,2016.0, ул. Уссурийская,"ул. Уссурийская, дом 11, к.1",ОПС Б1_2,False,False,55.82334820000001,37.815416600000006,"Уссурийская улица, Черницыно, Гольяново, район Гольяново, Восточный административный округ, Москва, ЦФО, 107065, РФ",Гольяново, 107065,False,138406.0,65,33.61524068523943,1,19,1.8687142857142856,45.757285714285715,1,2,2,0,,15,200.81422586083497,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
19347,117312.0,2018.0, ул. Ферсмана,"ул. Ферсмана, дом 3, к.1",ОПС Б1_2,False,False,55.6956441,37.575117999999996,"улица Ферсмана, Академический, Академический район, Юго-Западный административный округ, Москва, ЦФО, 117312, РФ",Академический, 117312,False,194538.0,11,192.90431295998903,3,2,1.7057142857142855,69.93042857142858,5,1,2,0,,9,195.7401658308588,6.0,11.0,1.0,"['пн.: 11:00—20:00, перерыв: 14:00—15:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00']",True
8419,125195.0,2016.0, ул. Фестивальная,"ул. Фестивальная, дом 39, к.1",ОПС Б1_2,False,False,55.8642261,37.5099256,"Фестивальная улица, Головинский, Головинский район, Северный административный округ, Москва, ЦФО, 125414, РФ",Головинский, 125414,False,152472.0,23,63.800514735795524,2,6,1.6122857142857143,52.69657142857143,5,0,3,0,,14,132.63022828904263,6.0,11.0,1.0,"['пн.—пт.: 11:00—20:00 сб.: 09:00—18:00 перерыв: пн., сб.: 13:00—14:00']",True
12757,121309.0,2017.0, ул. Филевская Большая,"ул. Филевская Большая, дом 13",ОПС Б1,False,False,55.7515542,37.507891,"Большая Филевская улица, Новозаводская улица, Фили, район Филёвский Парк, Западный административный округ, Москва, ЦФО, 121087, РФ",Фили, 121087,False,227892.0,8,74.22653818424752,0,8,6.264142857142858,57.62928571428571,3,2,8,0,,11,45.91220422469261,6.0,11.0,1.0,,True
9363,117556.0,2016.0, ул. Фруктовая,"ул. Фруктовая, дом 8, к.1 стр.2",ОПС Б1_2,False,False,56.2243752,36.8116826,"улица Фруктовая, Покровка, городской округ Клин, Московская область, ЦФО, РФ",городской округ Клин, ЦФО,False,227892.0,41,20.586737647960774,3,8,3.7468571428571433,93.75457142857141,4,2,9,0,,10,208.12468203030625,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
14081,107589.0,2017.0, ул. Хабаровская,"ул. Хабаровская, дом 14, к.1",ОПС Б1_2,False,False,55.8273313,37.8248356,"Хабаровская улица, Гольяново, район Гольяново, Восточный административный округ, Москва, ЦФО, 105789, РФ",Гольяново, 105789,False,138406.0,71,32.19351434346716,1,22,2.259857142857143,60.98628571428571,1,2,4,0,,15,147.21366973826844,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
15646,115162.0,2017.0, ул. Хавская,"ул. Хавская, дом 3",ОПС Б1,False,False,55.7140167,37.613617700000006,"Хавская улица, Донской, Москва, Южный административный округ, Москва, ЦФО, 115162, РФ",Москва, 115162,False,227892.0,19,66.81918026595783,4,16,2.8375714285714286,41.02571428571429,16,5,12,1,420.1916682814124,9,293.3595283537232,5.0,9.0,0.0,['пн.—пт.: 09:00—18:00'],True
8426,107392.0,2016.0, ул. Халтуринская,"ул. Халтуринская, дом 13",ОПС Б1_2,False,False,55.801277,37.7275967,"Халтуринская улица, Черкизово, район Преображенское, Восточный административный округ, Москва, ЦФО, 107392, РФ",Преображенское, 107392,False,188169.0,50,110.02591889703942,1,15,0.8491428571428571,57.26585714285714,9,1,5,0,,4,138.11011584568467,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—чт.: 09:00—20:00 пт.: 10:00—19:00 сб.: 09:00—18:00'],True
